RestaurantID,Name,Address,Time,Price,Latitude,Longitude
952,Walla Juice - Nước Ép Tươi Ngon Hàng Ngày - Đường Bưởi,"Số Nhà 11 Ngách 376/35/2 Đường Bưởi, P. Vĩnh Phúc, Ba Đình, Hà Nội",,,,
953,Bánh Mì Sài Gòn - 341 Ngọc Lâm,"341 Ngọc Lâm, P. Ngọc Lâm, Long Biên, Hà Nội",,,21.0432386,105.869109
954,"Cơm Gà 8x - Phở, Bún & Cơm Gà - Dương Khuê","38 ngõ 60 Dương Khuê, P. Mỹ Đình 2, Nam Từ Liêm, Hà Nội",,,21.0348828,105.7721189
955,Cơm Tấm Sườn Cay & Cơm Gà Nướng Lu - Cơm Thố Tỷ Đô,"7 Ngách 30 Ngõ 165 Thái Hà, P. Láng Hạ, Đống Đa, Hà Nội",,,,
956,"Tiệm Gà Đức Viên - Gà Ủ Muối, Gà Hun Khói Và Bánh Gà - Dương Văn Bé","71D/198 Dương Văn Bé, P. Vĩnh Tuy, Hai Bà Trưng, Hà Nội",,,,
957,"Chân Gà Sả Tắc, Chân Gà Sốt Thái - Nc Food","Số Nhà 61 Ngõ 52 Mỹ Đình, Nam Từ Liêm, Hà Nội",,,21.0285889,105.7748964
958,Kaio - Ở Đây Chúng Tôi Có Matcha,"1B Ngõ 392 Mỹ Đình, P. Mỹ Đình 2, Nam Từ Liêm, Hà Nội",,,,
959,"Tùng Food- Gỏi Cuốn, Bún Trộn & Mì Trộn","51 Ngõ 99 Cầu Diễn, P. Phúc Diễn, Bắc Từ Liêm, Hà Nội",,,21.0450596,105.7504728
960,Chef Đăng - Thịt Quay Plus CS1,"67C Hoàng Văn Thái, P. Khương Mai, Thanh Xuân, Hà Nội",,,20.9968956,105.8248437
961,Cuốn Xưa - Phở Cuốn Hà Thành - Tân Mai,"32 ngõ 223 Tân Mai, P. Tân Mai, Hoàng Mai, Hà Nội",,,20.9808558,105.8504428
962,Tiệm Gà Ò Ó O - Gà Ủ Muối & Gà Hun Khói,"34 Ngõ 90 Yên Lạc, P. Vĩnh Tuy, Hai Bà Trưng, Hà Nội",,,21.0012657,105.8643437
963,Gà Tần & Mì Gà Tần - Tô Hiệu,"109C9B Ngõ 26 Tô Hiệu, P. Nghĩa Tân, Cầu Giấy, Hà Nội",,,,
964,Gà Tần & Mì Chua Cay Tim Cật - 4I,"102 A3 Ngõ 102 Tập Thể Bộ Công An Nguyễn Huy Tưởng, P. Thanh Xuân Trung, Thanh Xuân, Hà Nội",,,,
965,"Trà Chanh Dương Dương - Mì Cay, Tokbokki - Shop Online","15 Ngõ 2A Nguyên Hồng, P. Thành Công, Ba Đình, Hà Nội",,,,
966,"Mieso Food - Gà Rán, Gà Luộc & Gà Ủ Muối - An Dương","51 An Dương, P. Yên Phụ, Tây Hồ, Hà Nội",,,21.0554118,105.8376641
967,Cơm Chay Lý Sơn - Shop Online,"37 Ngõ 46 Phạm Ngọc Thạch (57 Ngõ 29 Xã Đàn), P. Phương Liên, Đống Đa, Hà Nội",,,,
968,Gà Luộc & Gà Ủ Muối - Hẻm 65 Định Công Hạ,"27 Ngõ 99 Ngách 110 Hẻm 65 Định Công Hạ, P. Định Công, Thanh Xuân, Hà Nội",,,,
969,Gà Luộc & Gà Ủ Muối - Định Công Hạ,"32 Hẻm 65 Ngách 110 Ngõ 99 Định Công Hạ , P. Định Công, Hoàng Mai, Hà Nội",,,,
