RestaurantID,Name,Address,Time,Price,Latitude,Longitude
669,"Tiệm Nhà Vi - Trà Sữa, Nước Trái Cây & Cafe - Nguyễn Huy Tưởng","148 Nguyễn Huy Tưởng, P. Thanh Xuân Trung, Thanh Xuân, Hà Nội",,,20.9977591,105.8047806
670,Đỉnh Đỉnh - Cơm Trung & Món Táu - Flychef - Nguyễn Huy Tưởng,"50 Nguyễn Huy Tưởng, P. Thanh Xuân, P. Thanh Xuân Trung, Thanh Xuân, Hà Nội",,,20.9998612,105.8075786
671,Fuku Fuku - Pasta Nhật và Fusion Food - Flychef - Nguyễn Huy Tưởng,"50 Nguyễn Huy Tưởng, P. Thanh Xuân, P. Thanh Xuân Trung, Thanh Xuân, Hà Nội",,,20.9998612,105.8075786
672,Tiệm Nước Ép HI Juice - Nước Ép & Trà Hoa Quả - Khương Đình,"91 Khương Đình, P. Hạ Đình, Thanh Xuân, Hà Nội",,,20.995958,105.813956
673,Cơm Gà Anh Béo - Gà Rán & Mì Trộn - Láng Hạ,"Số 45 Ngõ 87 Láng Hạ, Ba Đình, Hà Nội",,,21.0171058,105.8165027
674,Quán Hùng Trang - Nước Ép & Sinh Tố - Văn Chương,"247 Văn Chương, Đống Đa, Hà Nội",,,21.022491,105.8371026
675,"Ichi Food - Cháo, Súp & Mỳ Xào - Kim Giang","41A Ng. 192 Đ. Kim Giang, P. Đại Kim, Hoàng Mai, Hà Nội",,,20.9787662,105.8169912
676,Bánh Mỳ & Bún Riêu - Chay Thiện Tâm,"133 Mai Hắc Đế, P. Lê Đại Hành, Hai Bà Trưng, Hà Nội",,,21.0115991,105.8510986
677,Lethimcook - Mỳ Trộn Indomie - Tô Hiến Thành,"30 Tô Hiến Thành, Hà Đông, Hà Nội",,,20.9714838,105.784137
678,Omu Ome - Cơm trứng phủ - Flychef - Nguyễn Huy Tưởng,"50 Nguyễn Huy Tưởng, P. Thanh Xuân, P. Thanh Xuân Trung, Thanh Xuân, Hà Nội",,,20.9998612,105.8075786
679,BÚN RIÊU VIỆT - ĐÔNG CÁC,"193-195 Đông Các, P. Ô Chợ Dừa, Đống Đa, Hà Nội",,,21.0060054,105.8314798
680,Cháo Dinh Dưỡng Cao Cấp Xuka - Royal City,"1 Phố Cự Lộc, P. Nhân Chính (Gần Royal City), Thanh Xuân, Hà Nội",,,20.9994622,105.8146165
681,"Lachi - Tea, Coffee & Trà Sữa Hương Nhài - Dương Nội","No12, 480 Khu Đất Dịch Vụ Liên Khu 31 Dương Nội, Hà Đông, Hà Nội",,,20.9876641,105.7464168
682,Caffe & Trà Sức Khỏe - Phạm Đình Hổ,"Số 9 Phạm Đình Hổ, Hai Bà Trưng, Hà Nội",,,21.0166051,105.8580952
683,"Trà Trái Cây, Sinh Tố & Nước Ép - ChiMini","48 Nguyễn Hữu Huân, P. Lý Thái Tổ, Hoàn Kiếm, Hà Nội",,,21.0336918,105.854322
684,Khánh Linh Quán - Louis 5,"Số 50 Đường Louis 5, P. Đại Mỗ, Nam Từ Liêm, Hà Nội",,,20.9872751,105.7648718
685,Banana - Coffee & Nước Ép Trái Cây,"74 Yên Phụ (Nằm Trên Dốc 76 Lối Vào Hanoi Club Yên Phụ), P. Yên Phụ, Tây Hồ, Hà Nội",,,21.0543551,105.836228
686,"Happy Juice - Nước Ép, Sinh Tố & Trà Hoa Quả - Nghĩa Dũng","24 Ngõ 15 Nghĩa Dũng, P. Phúc Xá, Ba Đình, Hà Nội",,,21.049586,105.8460841
687,Cha Tra Thai - Trà Thái Đường Phố Phong Cách BangKok - Đê La Thành,"327 Đê La Thành, P. Ô Chợ Dừa, Đống Đa, Hà Nội",,,21.0251037,105.811021
688,Cóc Xoài Bao Tử Khánh Ngọc - Nguyễn Khang,"Số Nhà 12 Ngách 7 Ngõ 381 Nguyễn Khang, P. Yên Hòa, Cầu Giấy, Hà Nội",,,21.0269996,105.7977968
689,Bếp Xanh - Giáp Bát,"12-14 Ngõ 270 Giáp Bát, P. Giáp Bát, Hoàng Mai, Hà Nội",,,20.9812701,105.8442375
690,"Trà Hoa Quả Tươi, Sinh Tố & Nước Ép Trái Cây - 127 Kim Hoa","127 Kim Hoa, P. Kim Liên, Đống Đa, Hà Nội",,,21.0096876,105.83916
691,Hotpot Cheng Cheng - Set Lẩu Nướng Gà Ủ Muối - Quỳnh Mai,"102C9 Quỳnh Mai, P. Quỳnh Mai, Hai Bà Trưng, Hà Nội",,,21.0011591,105.8601669
692,Shym - Coffee - Trần Thái Tông,"Số 4 Ngõ 45 Trần Thái Tông , Cầu Giấy, Hà Nội",,,21.0341686,105.7899395
693,"Sanvy - Trà Trái Cây, Sữa Chua Lắc & Trà Sữa","5 Ngõ 7 Lê Đức Thọ, P. Mỹ Đình 2, Nam Từ Liêm, Hà Nội",,,21.0320589,105.7702237
694,"Haye Foods - Mì Trộn Indo, Đồ Ăn Vặt & Trà Sữa - Quỳnh Lôi","15 Gác 1 C5 TT Quỳnh Mai, Ngõ 15 Phố Quỳnh Lôi, Hai Bà Trưng, Hà Nội",,,21.0009711,105.8590355
695,Cơm Tấm Hoàng - Cơm Tấm Sài Gòn - Nguyễn Đức Thuận,"309/2 Nguyễn Đức Thuận, Gia Lâm, Hà Nội",,,21.0196605,105.941032
696,HaNa Yummy - Hot Dog & Sandwich,"567A Phạm Văn Đồng, P. Cổ Nhuế, Bắc Từ Liêm, Hà Nội",,,21.0566076,105.7826825
697,"Phương Nga Fruits - Set Hoa Quả Sạch, Hoa Quả Gọt Sẵn & Nước Ép - 131 Ngõ Văn Chương","131 Ngõ Văn Chương, P. Văn Chương, Đống Đa, Hà Nội",,,21.0228331,105.8337731
698,HaNa Gâteaux - Shop Online,"567 Phạm Văn Đồng, P. Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",,,21.0566076,105.7826825
699,ChangTea - Đậm Vị Trà Ngon - S5 Vinhomes Symphony,"S5 Vinhomes Symphony Đường Chu Huy Mân, Long Biên, Hà Nội",,,21.0496956,105.9175795
700,"Dawa Cafe - Cafe, Matcha & Cacao","48 ngõ 442 Phạm Văn Đồng, P. Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",,,21.0570124,105.7813108
701,Cô Hạnh - Trà Trái Cây Nhiệt Đới - Văn Tiến Dũng,"Số 11D, Ngách 66 Ngõ 59 Văn Tiến Dũng, Bắc Từ Liêm, Hà Nội",,,21.049946,105.7487815
702,Hoa Lá - Sinh Tố & Nước Ép Trái Cây Tươi - Chùa Láng,"92A Ngõ 185 Chùa Láng, P. Láng Thượng, Đống Đa, Hà Nội",,,21.0206443,105.8022073
703,Trà Trái Cây Hà Lùn,"142 Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",,,21.0715287,105.7982822
704,Bún Chả Đỗ Lý,"5 Ngõ 108 Xuân Đỉnh, P. Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",,,21.0712307,105.799666
705,"Bánh Xèo, Tàu Hũ & Đồ Ăn Vặt - Hàng Đậu","Số 1 Hàng Đậu, Hoàn Kiếm, Hà Nội",,,21.032205,105.8539016
706,Bánh Mì Pate Cột Đèn & Bánh Mì Truyền Thống - 96 Doãn Kế Thiện,"96 Doãn Kế Thiện, Cầu Giấy, Hà Nội",,,21.0420954,105.7753446
707,Rau Má Mix Hà Anh - Hoàng Văn Thái,"70 Hoàng Văn Thái, P. Khương Mai, Thanh Xuân, Hà Nội",,,20.999418,105.827973
708,"AN VIỆT - Bún Đậu Mắm Tôm, Mì Trộn Indo & Đồ Ăn Vặt","11 Ngõ 459 Bạch Mai, P. Trương Định, Hai Bà Trưng, Hà Nội",,,20.9978119,105.8506232
709,Tiệm Cà Phê Bông - Trà Hoa Quả - Sài Đồng,"Số 23, Ngõ 42, Sài Đồng, TT. Sài Đồng, Long Biên, Hà Nội",,,21.0334877,105.910401
710,Bún Đậu Mắm Tôm Tuấn Lynh - Bún Đậu & Bún Chả Nướng - 9A Ngõ 294 Lĩnh Nam,"9A Ngõ 294 Lĩnh Nam, P. Lĩnh Nam, Hoàng Mai, Hà Nội",,,20.9802313,105.8784723
